Classifier description,Matthews correlation coefficient,Cohen Kappa score,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate
AdaBoost,0.73651878973850593,0.73364794628242469,0.870389849557792,0.9000528820729773,0.8407268170426065,0.15927318295739348,0.09994711792702275
Artificial neural network,0.71901652548026262,0.71801478086159098,0.8611244561333627,0.8718843645337563,0.8503645477329688,0.14963545226703123,0.1281156354662436
Bernoulli Naive Bayes,0.72047201080372891,0.71860536372747374,0.8621853447377398,0.882778071567072,0.8415926179084074,0.15840738209159264,0.1172219284329279
Clustering-Launched Classification,0.65895048089161323,0.65375642321523764,0.8313469210982362,0.8751454257006875,0.787548416495785,0.2124515835042151,0.12485457429931253
Decision Tree,0.6778895497138443,0.66938161477520131,0.8405204727360923,0.9021505376344088,0.7788904078377762,0.22110959216222373,0.0978494623655914
Extreme Learning Machine,0.70852180325823533,0.7029222405384834,0.8563681510395864,0.9033491979552265,0.8093871041239463,0.1906128958760538,0.0966508020447735
K-nearest neighbours,0.72459362873125499,0.7241948613645528,0.863409150851746,0.8642869733826899,0.8625313283208019,0.137468671679198,0.13571302661731008
Logistic regression,0.71198818283740051,0.70864558371708863,0.8580176674800795,0.8892296844702979,0.826805650489861,0.173194349510139,0.11077031552970211
Random forest,0.72114542030770712,0.71885271861047639,0.8624845459401111,0.8868852459016393,0.8380838459785829,0.16191615402141715,0.11311475409836064
SVM (RDF),0.72842235368990027,0.72513540949189703,0.8663724626936796,0.8990128679710913,0.833732057416268,0.16626794258373204,0.10098713202890885
SVM (linear),0.72416279887699553,0.71315488690558082,0.8635364401340354,0.9359245549092191,0.7911483253588517,0.20885167464114832,0.06407544509078089
SVM (polynomial),0.74008010204653363,0.73923464091728253,0.871524509798606,0.8805746518596863,0.8624743677375258,0.13752563226247436,0.11942534814031376
